date_and_time,CPU,disk,memory,network
2022-10-21T16:12:27.758304,1,2,4,9
2022-10-21T16:12:27.758533,2,3,5,9
2022-10-21T16:12:41.787504,11.5,71.7,79.7,True
2022-10-23T09:47:05.542365,14.4,71.8,47.7,True
2022-10-23T11:55:02.351722,8.2,71.8,50.7,True
2022-10-25T15:31:00.922234,1,2,4,9
2022-10-25T15:31:00.922344,2,3,5,9
2022-10-25T15:31:29.071904,1,2,4,9
2022-10-25T15:31:29.072018,2,3,5,9
2022-10-25T15:31:54.659338,17.2,74.1,49.0,True
2022-10-25T16:23:46.629110,3.1,74.1,59.2,True
2022-10-25T16:24:04.547080,3.1,74.1,59.3,True
2022-10-25T16:28:12.200077,4.7,74.1,59.4,True
2022-10-25T16:30:02.180406,3.7,74.1,59.8,True
2022-10-25T16:34:42.843243,10.2,74.1,60.6,True
2022-10-25T17:27:56.513028,7.8,74.1,73.6,True
2022-10-26T12:55:42.554412,10.6,74.1,51.7,True
2022-10-26T12:57:44.152349,23.7,74.1,52.5,True
2022-10-26T14:27:50.439845,3.5,74.1,55.8,True
2022-10-26T14:57:48.620403,4.4,74.1,54.0,True
2022-10-26T14:58:51.129471,3.1,74.1,54.0,True
2022-10-26T15:03:27.876631,5.6,74.1,52.8,True
2022-10-26T15:10:29.256652,4.1,74.1,53.8,True
2022-10-26T15:11:13.690941,3.8,74.1,54.3,True
2022-10-26T15:15:32.499163,3.4,74.1,55.5,True
2022-10-26T15:24:29.949025,2.5,74.1,56.5,True
2022-10-26T15:34:07.169846,10.6,74.1,63.4,True
2022-10-26T15:43:51.649524,5.8,74.1,65.1,True
